Service date,Hour,Route,Direction,Scheduled stop arrivals,Deduped bunching episodes,actual_rate_per_100,predicted_rate_per_100,Risk decile,Validation split,baseline_predicted_rate_per_100,external_predicted_rate_per_100,Temperature,Wind speed,MVI active in prior 2 hours,MVI active in prior 4 hours,Local MVI street-name matches,KCM advisory observed,weather_observed,mvi_observed,kcm_observed
2026-07-22,1,4,1,24,0,0.0,0.0025220904576218396,1,Train,0.0025220904576218396,0.002095441249860962,,,,,0.0,,0,1,0
2026-07-22,1,43,1,56,0,0.0,0.023786807292358932,5,Train,0.023786807292358932,0.020830308917884073,,,,,0.0,,0,1,0
2026-07-22,1,44,0,43,0,0.0,0.012167660611745864,3,Train,0.012167660611745864,0.010356168050306444,,,,,0.0,,0,1,0
2026-07-22,1,44,1,69,0,0.0,0.03258870239743906,5,Train,0.03258870239743906,0.028063412440458693,,,,,0.0,,0,1,0
2026-07-22,1,45,0,43,0,0.0,0.005005602786574909,2,Train,0.005005602786574909,0.00423969661957674,,,,,0.0,,0,1,0
2026-07-22,1,45,1,30,0,0.0,0.0027693808061709396,1,Train,0.0027693808061709396,0.0023124342186638734,,,,,0.0,,0,1,0
2026-07-22,1,48,0,37,0,0.0,0.00617464349894275,2,Train,0.00617464349894275,0.0052366909994651465,,,,,0.0,,0,1,0
2026-07-22,1,48,1,31,0,0.0,0.00482522492928635,2,Train,0.00482522492928635,0.004057321257967103,,,,,0.0,,0,1,0
2026-07-22,1,5,1,10,0,0.0,0.00015805069201878572,1,Train,0.00015805069201878572,0.00012741359303665146,,,,,0.0,,0,1,0
2026-07-22,1,50,1,1,0,0.0,6.002674100170018e-06,1,Train,6.002674100170018e-06,4.5931901672256e-06,,,,,0.0,,0,1,0
2026-07-22,1,522,0,8,0,0.0,0.0010086012281267528,1,Train,0.0010086012281267528,0.0008300549644487714,,,,,0.0,,0,1,0
2026-07-22,1,554,0,3,0,0.0,0.0010453158536836717,1,Train,0.0010453158536836717,0.0008555441124109858,,,,,0.0,,0,1,0
2026-07-22,1,62,0,116,0,0.0,0.015488648958233618,4,Train,0.015488648958233618,0.01333266207091376,,,,,0.0,,0,1,0
2026-07-22,1,62,1,8,0,0.0,0.00011763089570800059,1,Train,0.00011763089570800059,9.302081118793849e-05,,,,,0.0,,0,1,0
